passengerId1,passengerId2,flightCount
7,6366,3
7,6597,3
50,2004,3
53,291,3
75,3677,3
75,7682,3
92,5279,3
92,9906,3
98,199,3
103,2354,3
120,7649,3
130,2293,3
135,624,3
147,1586,3
157,2046,3
165,511,3
167,4431,3
167,5744,3
170,5477,3
173,5759,3
187,4084,3
190,2446,3
191,8793,3
203,10034,3
204,1310,3
204,4189,3
207,259,3
213,4134,3
221,3402,3
223,2911,3
224,5100,3
234,273,3
235,2101,3
245,699,3
245,1800,3
245,3032,3
246,602,3
247,3405,3
249,4171,3
258,7393,3
262,8742,3
263,1023,3
264,6426,3
270,302,3
274,4480,3
277,10956,3
288,4400,3
288,9470,3
289,9599,3
290,3151,3
291,4850,3
316,1128,3
320,372,3
322,377,3
322,4739,3
326,373,3
337,5959,3
340,5191,3
343,1525,3
348,7823,3
348,8483,3
358,1272,3
363,3952,3
374,3471,3
380,4511,3
381,781,3
382,5403,3
388,1236,3
399,9513,3
402,490,3
406,9063,3
416,3896,3
435,5120,3
437,4624,3
440,3974,3
451,1254,3
455,9489,3
478,9927,3
486,4530,3
505,2642,3
507,574,3
509,563,3
509,8363,3
523,536,3
523,595,3
524,5073,3
525,12569,3
528,556,3
534,3749,3
541,552,3
544,7367,3
544,9405,3
545,10105,3
551,5289,3
556,1863,3
561,4584,3
562,1381,3
571,4237,3
574,3931,3
578,1048,3
602,3567,3
604,670,3
606,7039,3
609,3471,3
618,3153,3
624,1502,3
627,5943,3
631,5008,3
634,2184,3
637,5116,3
638,1752,3
638,10184,3
643,7070,3
645,657,3
652,843,3
662,1389,3
664,3359,3
670,2647,3
674,11713,3
677,6182,3
679,763,3
688,1735,3
688,2799,3
694,3135,3
698,3238,3
711,722,3
711,736,3
714,735,3
715,798,3
719,1692,3
725,783,3
730,11863,3
745,4177,3
747,7770,3
748,753,3
755,3463,3
756,2967,3
756,6093,3
761,1043,3
763,1007,3
768,5674,3
773,10179,3
774,4400,3
780,4502,3
782,7167,3
798,3316,3
804,3794,3
814,11368,3
814,11594,3
823,845,3
827,832,3
833,8702,3
839,2611,3
841,874,3
844,6726,3
845,897,3
853,8397,3
854,5328,3
857,4171,3
864,882,3
870,9267,3
871,5418,3
874,5120,3
891,4152,3
893,3845,3
910,1406,3
910,2272,3
911,1375,3
912,1384,3
913,1696,3
914,3638,3
918,930,3
920,1398,3
928,2251,3
932,2718,3
934,968,3
935,5450,3
939,8947,3
941,2951,3
946,1313,3
952,13264,3
953,11690,3
954,1397,3
968,999,3
969,10716,3
975,3855,3
978,2903,3
988,3681,3
989,1034,3
989,5705,3
993,11296,3
1003,1022,3
1004,2681,3
1005,3703,3
1009,8972,3
1012,5952,3
1013,6480,3
1015,3992,3
1022,1307,3
1023,2197,3
1024,3988,3
1027,1524,3
1033,1499,3
1052,1389,3
1066,3180,3
1071,1088,3
1077,3415,3
1082,4340,3
1084,1536,3
1102,2467,3
1106,4769,3
1111,3323,3
1115,3934,3
1145,2156,3
1146,13267,3
1155,5350,3
1158,3024,3
1180,1378,3
1208,3169,3
1209,4686,3
1228,4993,3
1232,1248,3
1240,5012,3
1243,1294,3
1246,5286,3
1250,4696,3
1254,9977,3
1266,2322,3
1273,1287,3
1281,6535,3
1287,5432,3
1289,10654,3
1293,2573,3
1306,5261,3
1308,2382,3
1309,4584,3
1311,2957,3
1314,5401,3
1316,1330,3
1317,5984,3
1323,4029,3
1325,8614,3
1328,5726,3
1332,2752,3
1335,5227,3
1340,3524,3
1340,8998,3
1340,11808,3
1342,2251,3
1342,5056,3
1343,5058,3
1343,9503,3
1343,11987,3
1345,9612,3
1346,3034,3
1352,2275,3
1352,7874,3
1371,5431,3
1384,3536,3
1396,3924,3
1399,7053,3
1428,5327,3
1428,8519,3
1429,4814,3
1430,8542,3
1436,3102,3
1436,4536,3
1436,7110,3
1448,11088,3
1449,9962,3
1449,12520,3
1452,7563,3
1461,6418,3
1473,1477,3
1473,11674,3
1481,1489,3
1482,5490,3
1484,5414,3
1498,4628,3
1498,4860,3
1505,10535,3
1521,9893,3
1525,1596,3
1538,1819,3
1548,4212,3
1555,2611,3
1560,7393,3
1561,11602,3
1562,8735,3
1563,9225,3
1571,1574,3
1595,6694,3
1612,2672,3
1622,6555,3
1637,1823,3
1657,4645,3
1677,5590,3
1678,7810,3
1678,11478,3
1688,7128,3
1692,5042,3
1692,5053,3
1700,2569,3
1715,10767,3
1735,4432,3
1737,3958,3
1740,8581,3
1747,1764,3
1752,5104,3
1759,12431,3
1772,6987,3
1797,4440,3
1801,5467,3
1808,6003,3
1812,3912,3
1819,4255,3
1822,12437,3
1823,8746,3
1826,3907,3
1826,4641,3
1831,3012,3
1843,6305,3
1858,9472,3
1866,2581,3
1898,6981,3
1903,3321,3
1905,3204,3
1906,1923,3
1907,1979,3
1908,3297,3
1908,5139,3
1909,1935,3
1910,1915,3
1911,3349,3
1912,1998,3
1913,1949,3
1913,2155,3
1919,1923,3
1925,1981,3
1925,5177,3
1927,11466,3
1929,1980,3
1929,1991,3
1933,5812,3
1934,1977,3
1935,1974,3
1943,1978,3
1944,1978,3
1946,7110,3
1949,1995,3
1954,3210,3
1956,1996,3
1956,1999,3
1956,8270,3
1961,3108,3
1966,1992,3
1967,3246,3
1969,1987,3
1973,1977,3
1975,2832,3
1976,6625,3
1977,12119,3
1983,1984,3
1991,5132,3
2012,3829,3
2024,10709,3
2031,7699,3
2043,3482,3
2055,12195,3
2076,3233,3
2082,5446,3
2082,8650,3
2118,2167,3
2121,2186,3
2122,7677,3
2127,2200,3
2133,2170,3
2134,5841,3
2137,2328,3
2138,10482,3
2156,4468,3
2171,2200,3
2171,11896,3
2173,2484,3
2175,3174,3
2176,3253,3
2176,7607,3
2177,2195,3
2177,4179,3
2201,9977,3
2202,2248,3
2203,3596,3
2205,2275,3
2212,2264,3
2213,2289,3
2223,10967,3
2225,2447,3
2227,2280,3
2227,7477,3
2229,3548,3
2234,2237,3
2234,2290,3
2235,2254,3
2236,2297,3
2247,7033,3
2251,7335,3
2251,9665,3
2254,5942,3
2255,2266,3
