passengerId,longestRun
112,4
113,1
155,1
167,22
299,9
385,11
736,11
831,11
1042,12
1599,12
1738,7
1882,10
2175,10
2364,1
2400,13
2403,8
2672,10
2878,1
3324,2
4131,7
4300,10
5009,16
5172,7
5208,5
5579,10
5915,6
5918,6
6252,5
6351,3
6605,1
7010,6
7139,13
7207,1
7540,14
7555,9
8187,2
8421,1
8438,1
8777,13
9156,9
9228,7
9348,8
9418,10
9526,4
9852,3
10123,5
10166,8
10168,9
10182,1
10388,5
10428,6
10875,5
11009,4
11038,5
11846,7
12073,7
12138,4
12202,4
12272,4
12683,3
12730,6
12799,5
12809,5
12878,5
13351,1
13521,2
13845,2
13926,2
13960,5
14043,1
14152,1
14232,2
14284,2
14443,2
14556,1
14578,3
14825,1
